,labels,window,precision,recall,fscore,support,fit_time
0,-1,15,0.6842345837427057,0.7868231454898331,0.731877476415112,0.031666686344249344,0.5773502691896257
1,0,15,0.9843031806732258,0.9586296194206132,0.9712959607683502,0.9937329946020872,0.5773502691896257
2,1,15,0.7223905683595969,0.8661957443594903,0.7876505005760771,0.10720054297970229,0.5773502691896257
3,-1,17,0.7046846501475484,0.8205421148869565,0.7581981630921764,0.031666686344249344,0.5773502691896257
4,0,17,0.9849235620988571,0.9586857182512939,0.9716267191464046,0.9937329946020872,0.5773502691896257
5,1,17,0.7254766435619565,0.8704389448319683,0.7912746122942581,0.10720054297970229,0.5773502691896257
6,-1,19,0.7216381863929505,0.8503314112071664,0.7807104042190733,0.031666686344249344,0.5773502691896257
7,0,19,0.9853693095712209,0.9589878276683012,0.9719987743704612,0.9937329946020872,0.5773502691896257
8,1,19,0.7294987579203446,0.8730585813426313,0.7947653311490696,0.10720054297970229,0.5773502691896257
9,-1,21,0.7291707618699813,0.8773916067108338,0.7964328217948299,0.031666686344249344,0.5773502691896258
10,0,21,0.9858495949742129,0.9590676549633481,0.9722735096538928,0.9937329946020872,0.5773502691896258
11,1,21,0.733079447126188,0.8747174343419855,0.7975560502666877,0.10720054297970229,0.5773502691896258
12,-1,23,0.7287816998500211,0.8927714869350768,0.8024796331064237,0.031666686344249344,0.5773502691896257
13,0,23,0.9860236865608091,0.9590978331450336,0.9723738378577856,0.9937329946020872,0.5773502691896257
14,1,23,0.7364087349082092,0.8748906903970511,0.7996141571665487,0.10720054297970229,0.5773502691896257
15,-1,25,0.7237029900809602,0.9097993705920856,0.8061382687309205,0.031666686344249344,0.5773502691896257
16,0,25,0.9863315682359893,0.9586657826207038,0.972301181789342,0.9937329946020872,0.5773502691896257
17,1,25,0.737871788715466,0.8746353318556165,0.8003674035812453,0.10720054297970229,0.5773502691896257
